========================================================================================================================
MACD趋势判断对比分析 - SOL-USDT-SWAP (2026-05-16)
========================================================================================================================

参数: fast=9, slow=21, signal=60, adjust=True

========================================================================================================================
30分钟 K线 MACD数据
========================================================================================================================
UTC时间                     UTC+8           收盘价        DIFF         DEA          STICK(HIST)     方式A(柱变化)        方式B(零轴)     
------------------------------------------------------------------------------------------------------------------------
2026-05-16 00:00          08:00           89.30      -0.256457    -0.288674    0.064435        -               -           
2026-05-16 00:30          08:30           89.19      -0.243101    -0.287068    0.087935        LONG            LONG        
2026-05-16 01:00          09:00           88.98      -0.251868    -0.285831    0.067927        SHORT           LONG        
2026-05-16 01:30          09:30           89.24      -0.225310    -0.283709    0.116799        LONG            LONG        
2026-05-16 02:00          10:00           89.04      -0.223709    -0.281610    0.115801        SHORT           LONG        
2026-05-16 02:30          10:30           89.15      -0.206481    -0.278987    0.145012        LONG            LONG        
2026-05-16 03:00          11:00           89.17      -0.188016    -0.275818    0.175605        LONG            LONG        
2026-05-16 03:30          11:30           89.00      -0.189709    -0.272825    0.166231        SHORT           LONG        
2026-05-16 04:00          12:00           88.73      -0.216939    -0.270886    0.107893        SHORT           LONG        
2026-05-16 04:30          12:30           88.81      -0.224073    -0.269264    0.090383        SHORT           LONG        
2026-05-16 05:00          13:00           88.53      -0.255727    -0.268797    0.026139        SHORT           LONG        
2026-05-16 05:30          13:30           88.53      -0.274098    -0.268979    -0.010237       SHORT           SHORT       
2026-05-16 06:00          14:00           88.24      -0.314107    -0.270534    -0.087146       SHORT           SHORT       
2026-05-16 06:30          14:30           87.96      -0.368034    -0.273887    -0.188295       SHORT           SHORT       
2026-05-16 07:00          15:00           87.31      -0.471463    -0.280670    -0.381585       SHORT           SHORT       
2026-05-16 07:30          15:30           87.40      -0.528294    -0.289159    -0.478271       SHORT           SHORT       
2026-05-16 08:00          16:00           87.43      -0.556748    -0.298318    -0.516859       SHORT           SHORT       
2026-05-16 08:30          16:30           87.44      -0.566227    -0.307475    -0.517504       SHORT           SHORT       
